Name,Description
ADAPTABILITY,POWERS UP MOVES OF THE SAME TYPE.
AERILATE,TURNS NORMAL-TYPE MOVES INTO FLYING-TYPE MOVES.
AFTERMATH,DAMAGES THE ATTACKER LANDING THE FINISHING HIT.
AIR LOCK,ELIMINATES THE EFFECTS OF WEATHER.
ANALYTIC,BOOSTS MOVE POWER WHEN THE POKÉMON MOVES LAST.
ANGER POINT,MAXES ATTACK AFTER TAKING A CRITICAL HIT.
ANTICIPATION,SENSES A FOE'S DANGEROUS MOVES.
ARENA TRAP,PREVENTS THE FOE FROM FLEEING.
AROMA VEIL,PROTECTS ALLIES FROM ATTACKS THAT LIMIT THEIR MOVE CHOICES.
AURA BREAK,REDUCES POWER OF DARK- AND FAIRY-TYPE MOVES.
BAD DREAMS,REDUCES A SLEEPING FOE'S HP.
BALL FETCH,RETRIEVES A POKÉ BALL FROM A FAILED THROW.
BATTERY,RAISES POWER OF TEAMMATES' SPECIAL MOVES.
BATTLE ARMOR,THE POKÉMON IS PROTECTED AGAINST CRITICAL HITS.
BATTLE BOND,TRANSFORM INTO ASH-GRENINJA AFTER CAUSING OPPONENT TO FAINT.
BEAST BOOST,THE POKÉMON BOOSTS ITS MOST PROFICIENT STAT EACH TIME IT KNOCKS OUT A POKÉMON.
BERSERK,RAISES SPECIAL ATTACK WHEN HP DROPS BELOW HALF.
BIG PECKS,PROTECTS THE POKÉMON FROM DEFENSE-LOWERING ATTACKS.
BLAZE,POWERS UP FIRE-TYPE MOVES IN A PINCH.
BULLETPROOF,PROTECTS THE POKÉMON FROM BALL AND BOMB MOVES.
CHEEK POUCH,RESTORES ADDITIONAL HP WHEN A BERRY IS CONSUMED.
CHLOROPHYLL,BOOSTS THE POKÉMON'S SPEED IN SUNSHINE.
CLEAR BODY,PREVENTS OTHER POKÉMON FROM LOWERING ITS STATS.
CLOUD NINE,ELIMINATES THE EFFECTS OF WEATHER.
COLOR CHANGE,CHANGES THE POKÉMON'S TYPE TO THE FOE'S MOVE.
COMATOSE,THE POKÉMON IS ALWAYS ASLEEP BUT CAN STILL ATTACK.
COMPETITIVE,RAISES SPECIAL ATTACK WHEN THE POKÉMON'S STATS ARE LOWERED.
COMPOUND EYES,THE POKÉMON'S ACCURACY IS BOOSTED.
CONTRARY,MAKES STAT CHANGES HAVE AN OPPOSITE EFFECT.
CORROSION,THE POKÉMON CAN POISON STEEL AND POISON TYPES.
COTTON DOWN,LOWERS FOE'S SPEED WHEN HIT.
CURSED BODY,MAY DISABLE A MOVE USED ON THE POKÉMON.
CUTE CHARM,CONTACT WITH THE POKÉMON MAY CAUSE INFATUATION.
DAMP,PREVENTS THE USE OF SELF-DESTRUCTING MOVES.
DANCER,COPIES THE FOE'S DANCE MOVES.
DARK AURA,RAISES POWER OF DARK TYPE MOVES FOR ALL POKÉMON IN BATTLE.
DAUNTLESS SHIELD,BOOSTS DEFENSE IN BATTLE.
DAZZLING,PROTECTS THE POKÉMON FROM HIGH-PRIORITY MOVES.
DEFEATIST,LOWERS STATS WHEN HP DROPS BELOW HALF.
DEFIANT,WHEN ITS STATS ARE LOWERED ITS ATTACK INCREASES.
DELTA STREAM,CREATES STRONG WINDS WHEN THE ABILITY ACTIVATES.
DESOLATE LAND,TURNS THE SUNLIGHT EXTREMELY HARSH WHEN THE ABILITY ACTIVATES.
DISGUISE,AVOIDS DAMAGE FOR ONE TURN.
DOWNLOAD,ADJUSTS POWER ACCORDING TO A FOE'S DEFENSES.
DRIZZLE,THE POKÉMON MAKES IT RAIN WHEN IT ENTERS A BATTLE.
DROUGHT,TURNS THE SUNLIGHT HARSH WHEN THE POKÉMON ENTERS A BATTLE.
DRY SKIN,REDUCES HP IF IT IS HOT. WATER RESTORES HP.
EARLY BIRD,THE POKÉMON AWAKENS QUICKLY FROM SLEEP.
EFFECT SPORE,CONTACT MAY POISON OR CAUSE PARALYSIS OR SLEEP.
ELECTRIC SURGE,THE POKÉMON CREATES AN ELECTRIC TERRAIN WHEN IT ENTERS A BATTLE.
EMERGENCY EXIT,SWITCHES OUT WHEN HP FALLS BELOW 50%.
FAIRY AURA,RAISES POWER OF FAIRY TYPE MOVES FOR ALL POKÉMON IN BATTLE.
FILTER,REDUCES DAMAGE FROM SUPER-EFFECTIVE ATTACKS.
FLAME BODY,CONTACT WITH THE POKÉMON MAY BURN THE ATTACKER.
FLARE BOOST,POWERS UP SPECIAL ATTACKS WHEN BURNED.
FLASH FIRE,IT POWERS UP FIRE-TYPE MOVES IF IT'S HIT BY ONE.
FLOWER GIFT,POWERS UP PARTY POKÉMON WHEN IT IS SUNNY.
FLOWER VEIL,PREVENTS LOWERING OF ALLY GRASS-TYPE POKÉMON'S STATS.
FLUFFY,"HALVES DAMAGE FROM CONTACT MOVES, BUT DOUBLES DAMAGE FROM FIRE-TYPE MOVES."
FORECAST,CASTFORM TRANSFORMS WITH THE WEATHER.
FOREWARN,DETERMINES WHAT MOVES A FOE HAS.
FRIEND GUARD,REDUCES DAMAGE DONE TO ALLIES.
FRISK,THE POKÉMON CAN CHECK A FOE'S HELD ITEM.
FULL METAL BODY,PREVENTS OTHER POKÉMON FROM LOWERING ITS STATS.
FUR COAT,REDUCES DAMAGE FROM PHYSICAL MOVES.
GALE WINGS,GIVES PRIORITY TO FLYING-TYPE MOVES.
GALVANIZE,NORMAL-TYPE MOVES BECOME ELECTRIC-TYPE MOVES AND THEIR POWER BOOSTED.
GLUTTONY,ENCOURAGES THE EARLY USE OF A HELD BERRY.
GOOEY,CONTACT WITH THE POKÉMON LOWERS THE ATTACKER'S SPEED STAT.
